regiao;tipo_estabelecimento;ano;resultado;n_conformidades;tempo_resolucao;tipo_conformidade;gravidade_conformidade;tamanho_estabelecimento;numero_fiscalizacoes_previas;tipo_acao_corretiva;status_acao_corretiva;categoria_produtos;licenca_valida;dias_desde_ultima_fiscalizacao;inspecao_planejada;fiscal_responsavel
Sul;Farmácia;2019;Conforme;8;336;Rotulagem;Baixa;Médio;0;Requalificação de Pessoal;Em Progresso;Cosméticos;Sim;390;Planejada;1089
Nordeste;Clínica;2019;Não Conforme;7;109;Condições Sanitárias;Baixa;Grande;2;Reformulação de Produtos;Em Progresso;Cosméticos;Não;88;Planejada;1025
Sudeste;Indústria de Cosméticos;2022;Conforme;2;203;Rotulagem;Alta;Pequeno;3;Reformulação de Produtos;Em Progresso;Cosméticos;Não;427;Planejada;1048
Norte;Indústria de Saneantes;2018;Não Conforme;1;185;Rotulagem;Alta;Grande;1;Reformulação de Produtos;Pendente;Saneantes;Sim;170;Não Planejada;1043
Nordeste;Laboratório;2019;Não Conforme;4;291;Armazenamento;Alta;Médio;2;Reformulação de Produtos;Pendente;Medicamentos;Não;147;Não Planejada;1021
Norte;Indústria de Saneantes;2022;Conforme;0;328;Condições Sanitárias;Baixa;Pequeno;0;Reformulação de Produtos;Pendente;Saneantes;Não;240;Não Planejada;1066
Sul;Farmácia;2018;Conforme;3;92;Rotulagem;Baixa;Pequeno;4;Melhoria de Infraestrutura;Em Progresso;Alimentos;Sim;55;Não Planejada;1041
Norte;Clínica;2023;Conforme;7;259;Rotulagem;Alta;Médio;0;Melhoria de Infraestrutura;Concluída;Saneantes;Sim;604;Não Planejada;1051
Nordeste;Clínica;2018;Não Conforme;0;322;Boas Práticas de Fabricação;Baixa;Grande;4;Requalificação de Pessoal;Concluída;Cosméticos;Não;669;Planejada;1016
Sudeste;Hospital;2023;Conforme;4;206;Rotulagem;Baixa;Médio;1;Reformulação de Produtos;Concluída;Cosméticos;Não;520;Planejada;1013
Sul;Distribuidora;2020;Não Conforme;3;52;Armazenamento;Média;Pequeno;4;Requalificação de Pessoal;Pendente;Alimentos;Não;299;Planejada;1063
Nordeste;Farmácia;2022;Não Conforme;5;349;Registro de Produtos;Alta;Pequeno;3;Reformulação de Produtos;Concluída;Saneantes;Sim;610;Planejada;1044
Sul;Hospital;2018;Não Conforme;6;181;Boas Práticas de Fabricação;Alta;Médio;2;Requalificação de Pessoal;Concluída;Cosméticos;Não;562;Planejada;1063
Centro-Oeste;Indústria de Saneantes;2023;Conforme;8;303;Registro de Produtos;Média;Médio;2;Melhoria de Infraestrutura;Pendente;Saneantes;Não;725;Planejada;1029
Norte;Laboratório;2023;Conforme;0;3;Armazenamento;Média;Médio;3;Reformulação de Produtos;Pendente;Cosméticos;Não;4;Não Planejada;1012
Centro-Oeste;Distribuidora;2020;Conforme;9;84;Registro de Produtos;Baixa;Médio;2;Melhoria de Infraestrutura;Pendente;Alimentos;Não;364;Planejada;1025
Nordeste;Farmácia;2021;Não Conforme;3;214;Rotulagem;Média;Grande;0;Requalificação de Pessoal;Pendente;Medicamentos;Sim;292;Planejada;1031
Sudeste;Clínica;2022;Não Conforme;5;34;Registro de Produtos;Alta;Grande;3;Melhoria de Infraestrutura;Pendente;Medicamentos;Sim;389;Não Planejada;1045
Sul;Indústria de Saneantes;2021;Conforme;9;50;Condições Sanitárias;Alta;Grande;3;Melhoria de Infraestrutura;Em Progresso;Cosméticos;Não;471;Não Planejada;1097
Norte;Farmácia;2018;Não Conforme;6;289;Armazenamento;Alta;Grande;2;Melhoria de Infraestrutura;Pendente;Cosméticos;Não;531;Não Planejada;1050
Sul;Clínica;2022;Não Conforme;6;329;Condições Sanitárias;Baixa;Pequeno;4;Adequação de Processo;Concluída;Saneantes;Sim;426;Planejada;1086
Nordeste;Distribuidora;2020;Não Conforme;7;259;Registro de Produtos;Baixa;Pequeno;1;Requalificação de Pessoal;Concluída;Medicamentos;Sim;399;Planejada;1033
Sul;Clínica;2018;Conforme;9;258;Condições Sanitárias;Alta;Grande;4;Requalificação de Pessoal;Em Progresso;Saneantes;Sim;304;Não Planejada;1075
Norte;Laboratório;2022;Não Conforme;7;272;Boas Práticas de Fabricação;Alta;Médio;0;Reformulação de Produtos;Pendente;Cosméticos;Sim;713;Não Planejada;1086
Nordeste;Indústria de Saneantes;2022;Não Conforme;7;182;Registro de Produtos;Baixa;Pequeno;3;Reformulação de Produtos;Concluída;Medicamentos;Não;104;Não Planejada;1027
Sul;Indústria de Cosméticos;2021;Conforme;7;33;Condições Sanitárias;Baixa;Médio;3;Reformulação de Produtos;Concluída;Saneantes;Sim;331;Não Planejada;1018
Sudeste;Clínica;2018;Conforme;7;265;Rotulagem;Média;Grande;0;Melhoria de Infraestrutura;Pendente;Cosméticos;Sim;364;Planejada;1047
Nordeste;Laboratório;2020;Conforme;5;313;Registro de Produtos;Baixa;Pequeno;1;Requalificação de Pessoal;Em Progresso;Saneantes;Não;366;Não Planejada;1097
Nordeste;Indústria de Cosméticos;2020;Conforme;8;40;Boas Práticas de Fabricação;Baixa;Pequeno;3;Melhoria de Infraestrutura;Pendente;Saneantes;Não;82;Não Planejada;1071
Sudeste;Indústria de Saneantes;2018;Conforme;2;308;Rotulagem;Alta;Pequeno;4;Requalificação de Pessoal;Pendente;Cosméticos;Não;567;Planejada;1033
Centro-Oeste;Distribuidora;2018;Conforme;5;210;Registro de Produtos;Alta;Pequeno;0;Melhoria de Infraestrutura;Pendente;Saneantes;Não;676;Planejada;1015
Norte;Distribuidora;2023;Não Conforme;4;272;Rotulagem;Alta;Grande;3;Reformulação de Produtos;Pendente;Saneantes;Não;85;Não Planejada;1070
Centro-Oeste;Indústria de Saneantes;2019;Não Conforme;7;136;Registro de Produtos;Média;Pequeno;4;Melhoria de Infraestrutura;Pendente;Medicamentos;Não;219;Planejada;1026
Sul;Indústria de Saneantes;2021;Não Conforme;3;87;Registro de Produtos;Baixa;Grande;0;Adequação de Processo;Em Progresso;Saneantes;Não;368;Planejada;1050
Sudeste;Farmácia;2018;Não Conforme;3;60;Armazenamento;Média;Pequeno;0;Reformulação de Produtos;Concluída;Alimentos;Sim;725;Não Planejada;1083
Centro-Oeste;Laboratório;2018;Conforme;9;164;Condições Sanitárias;Baixa;Grande;0;Adequação de Processo;Pendente;Cosméticos;Sim;715;Não Planejada;1053
Nordeste;Laboratório;2019;Não Conforme;9;3;Registro de Produtos;Baixa;Grande;1;Adequação de Processo;Concluída;Saneantes;Não;242;Planejada;1098
Sul;Indústria de Saneantes;2019;Conforme;4;15;Boas Práticas de Fabricação;Alta;Médio;0;Reformulação de Produtos;Concluída;Cosméticos;Sim;162;Não Planejada;1016
Sul;Hospital;2022;Conforme;5;102;Condições Sanitárias;Baixa;Grande;2;Adequação de Processo;Pendente;Alimentos;Sim;179;Não Planejada;1091
Centro-Oeste;Hospital;2020;Não Conforme;3;255;Armazenamento;Média;Médio;2;Adequação de Processo;Concluída;Cosméticos;Não;92;Planejada;1071
Centro-Oeste;Indústria de Cosméticos;2021;Não Conforme;1;225;Condições Sanitárias;Alta;Pequeno;0;Requalificação de Pessoal;Pendente;Alimentos;Sim;500;Planejada;1067
Sudeste;Indústria de Cosméticos;2022;Conforme;1;210;Condições Sanitárias;Média;Médio;3;Melhoria de Infraestrutura;Pendente;Alimentos;Sim;650;Planejada;1096
Norte;Hospital;2018;Conforme;2;23;Registro de Produtos;Média;Grande;2;Adequação de Processo;Pendente;Medicamentos;Sim;506;Planejada;1085
Centro-Oeste;Indústria de Saneantes;2019;Conforme;1;235;Boas Práticas de Fabricação;Alta;Médio;4;Melhoria de Infraestrutura;Em Progresso;Alimentos;Sim;624;Planejada;1094
Centro-Oeste;Indústria de Saneantes;2023;Conforme;0;131;Registro de Produtos;Baixa;Pequeno;4;Adequação de Processo;Pendente;Medicamentos;Não;169;Não Planejada;1000
Nordeste;Indústria de Cosméticos;2020;Não Conforme;7;158;Boas Práticas de Fabricação;Média;Médio;3;Reformulação de Produtos;Pendente;Saneantes;Sim;387;Planejada;1013
Sul;Clínica;2022;Conforme;4;173;Boas Práticas de Fabricação;Baixa;Grande;4;Reformulação de Produtos;Concluída;Medicamentos;Sim;321;Não Planejada;1006
Norte;Indústria de Saneantes;2023;Não Conforme;9;17;Rotulagem;Alta;Grande;3;Requalificação de Pessoal;Em Progresso;Medicamentos;Não;101;Não Planejada;1063
Nordeste;Hospital;2020;Conforme;0;314;Registro de Produtos;Baixa;Pequeno;4;Reformulação de Produtos;Concluída;Saneantes;Sim;296;Não Planejada;1071
Sudeste;Laboratório;2023;Conforme;8;185;Armazenamento;Baixa;Pequeno;0;Requalificação de Pessoal;Concluída;Cosméticos;Não;193;Não Planejada;1007
Sudeste;Indústria de Saneantes;2019;Conforme;7;334;Condições Sanitárias;Alta;Médio;4;Reformulação de Produtos;Pendente;Cosméticos;Sim;461;Não Planejada;1053
Centro-Oeste;Indústria de Saneantes;2022;Não Conforme;3;184;Rotulagem;Baixa;Pequeno;0;Melhoria de Infraestrutura;Em Progresso;Saneantes;Sim;719;Planejada;1023
Centro-Oeste;Clínica;2022;Conforme;7;143;Armazenamento;Média;Grande;4;Adequação de Processo;Em Progresso;Alimentos;Não;286;Não Planejada;1054
Sudeste;Indústria de Cosméticos;2020;Não Conforme;9;44;Registro de Produtos;Média;Médio;4;Adequação de Processo;Pendente;Medicamentos;Não;216;Não Planejada;1000
Centro-Oeste;Indústria de Saneantes;2023;Não Conforme;6;12;Boas Práticas de Fabricação;Média;Médio;4;Requalificação de Pessoal;Em Progresso;Cosméticos;Não;456;Planejada;1098
Norte;Distribuidora;2019;Não Conforme;6;8;Registro de Produtos;Baixa;Médio;0;Reformulação de Produtos;Pendente;Cosméticos;Sim;228;Não Planejada;1071
Centro-Oeste;Farmácia;2018;Conforme;0;80;Registro de Produtos;Média;Médio;4;Melhoria de Infraestrutura;Em Progresso;Alimentos;Não;361;Planejada;1068
Sul;Hospital;2022;Não Conforme;5;297;Rotulagem;Baixa;Pequeno;4;Melhoria de Infraestrutura;Em Progresso;Cosméticos;Não;43;Não Planejada;1031
Centro-Oeste;Distribuidora;2018;Não Conforme;3;162;Armazenamento;Baixa;Médio;1;Reformulação de Produtos;Pendente;Cosméticos;Sim;181;Planejada;1000
Nordeste;Indústria de Cosméticos;2019;Conforme;9;302;Rotulagem;Baixa;Médio;0;Adequação de Processo;Em Progresso;Cosméticos;Não;511;Planejada;1065
Norte;Laboratório;2022;Conforme;9;216;Armazenamento;Baixa;Médio;2;Reformulação de Produtos;Em Progresso;Saneantes;Sim;462;Não Planejada;1041
Nordeste;Farmácia;2022;Não Conforme;9;248;Rotulagem;Alta;Grande;3;Adequação de Processo;Em Progresso;Cosméticos;Sim;286;Planejada;1078
Nordeste;Distribuidora;2023;Não Conforme;1;29;Condições Sanitárias;Média;Grande;1;Reformulação de Produtos;Concluída;Cosméticos;Não;297;Planejada;1008
Sul;Farmácia;2018;Conforme;9;272;Boas Práticas de Fabricação;Média;Pequeno;4;Adequação de Processo;Pendente;Saneantes;Não;556;Não Planejada;1075
Norte;Hospital;2023;Não Conforme;6;133;Boas Práticas de Fabricação;Baixa;Grande;2;Requalificação de Pessoal;Concluída;Cosméticos;Sim;37;Não Planejada;1073
Norte;Indústria de Cosméticos;2021;Não Conforme;8;5;Boas Práticas de Fabricação;Alta;Grande;2;Melhoria de Infraestrutura;Em Progresso;Alimentos;Não;83;Não Planejada;1023
Norte;Indústria de Saneantes;2018;Não Conforme;4;244;Condições Sanitárias;Baixa;Pequeno;4;Reformulação de Produtos;Em Progresso;Medicamentos;Sim;257;Não Planejada;1018
Norte;Laboratório;2018;Conforme;7;30;Condições Sanitárias;Média;Pequeno;4;Adequação de Processo;Concluída;Saneantes;Não;217;Não Planejada;1050
Norte;Indústria de Cosméticos;2021;Não Conforme;4;117;Boas Práticas de Fabricação;Média;Médio;1;Adequação de Processo;Em Progresso;Saneantes;Não;522;Não Planejada;1080
Sul;Farmácia;2019;Conforme;6;178;Boas Práticas de Fabricação;Alta;Médio;0;Adequação de Processo;Em Progresso;Cosméticos;Sim;26;Planejada;1001
Centro-Oeste;Distribuidora;2019;Conforme;6;261;Armazenamento;Baixa;Pequeno;1;Requalificação de Pessoal;Pendente;Medicamentos;Sim;251;Não Planejada;1009
Nordeste;Hospital;2022;Conforme;8;235;Armazenamento;Alta;Médio;0;Adequação de Processo;Em Progresso;Alimentos;Não;215;Não Planejada;1068
Norte;Hospital;2020;Não Conforme;2;141;Registro de Produtos;Baixa;Médio;2;Melhoria de Infraestrutura;Pendente;Alimentos;Sim;657;Não Planejada;1005
Centro-Oeste;Indústria de Cosméticos;2023;Conforme;0;305;Rotulagem;Alta;Médio;3;Requalificação de Pessoal;Pendente;Medicamentos;Não;320;Não Planejada;1061
Centro-Oeste;Indústria de Saneantes;2020;Não Conforme;1;345;Armazenamento;Média;Pequeno;4;Adequação de Processo;Concluída;Medicamentos;Não;411;Não Planejada;1065
Nordeste;Distribuidora;2022;Conforme;5;50;Armazenamento;Alta;Grande;1;Melhoria de Infraestrutura;Concluída;Alimentos;Sim;459;Não Planejada;1007
Sul;Indústria de Saneantes;2020;Não Conforme;9;270;Armazenamento;Média;Grande;2;Adequação de Processo;Em Progresso;Cosméticos;Sim;324;Não Planejada;1067
Sudeste;Indústria de Saneantes;2018;Não Conforme;9;108;Armazenamento;Média;Pequeno;1;Melhoria de Infraestrutura;Concluída;Medicamentos;Sim;530;Não Planejada;1058
Sudeste;Distribuidora;2018;Não Conforme;8;46;Condições Sanitárias;Baixa;Pequeno;0;Melhoria de Infraestrutura;Pendente;Medicamentos;Não;339;Não Planejada;1049
Centro-Oeste;Farmácia;2021;Conforme;2;82;Registro de Produtos;Alta;Médio;4;Adequação de Processo;Concluída;Cosméticos;Não;228;Planejada;1094
Nordeste;Indústria de Cosméticos;2021;Não Conforme;9;126;Armazenamento;Alta;Pequeno;0;Melhoria de Infraestrutura;Pendente;Saneantes;Sim;236;Planejada;1035
Sudeste;Indústria de Cosméticos;2022;Não Conforme;1;84;Rotulagem;Alta;Pequeno;0;Reformulação de Produtos;Concluída;Medicamentos;Sim;366;Planejada;1007
Centro-Oeste;Clínica;2022;Conforme;0;290;Armazenamento;Alta;Pequeno;0;Adequação de Processo;Em Progresso;Cosméticos;Não;434;Não Planejada;1094
Sul;Indústria de Cosméticos;2022;Conforme;1;71;Condições Sanitárias;Baixa;Pequeno;2;Reformulação de Produtos;Concluída;Alimentos;Não;449;Não Planejada;1016
Sudeste;Hospital;2018;Não Conforme;2;175;Boas Práticas de Fabricação;Baixa;Médio;4;Melhoria de Infraestrutura;Em Progresso;Saneantes;Sim;507;Planejada;1058
Centro-Oeste;Farmácia;2020;Conforme;6;316;Boas Práticas de Fabricação;Baixa;Médio;3;Requalificação de Pessoal;Concluída;Medicamentos;Sim;276;Não Planejada;1077
Centro-Oeste;Distribuidora;2023;Conforme;1;330;Registro de Produtos;Média;Pequeno;1;Requalificação de Pessoal;Pendente;Cosméticos;Não;633;Planejada;1007
Norte;Indústria de Cosméticos;2022;Conforme;4;337;Boas Práticas de Fabricação;Média;Pequeno;0;Melhoria de Infraestrutura;Concluída;Saneantes;Não;62;Não Planejada;1088
Sul;Farmácia;2022;Não Conforme;1;354;Armazenamento;Média;Grande;4;Reformulação de Produtos;Concluída;Cosméticos;Sim;331;Não Planejada;1077
Norte;Indústria de Cosméticos;2018;Conforme;6;91;Condições Sanitárias;Baixa;Grande;1;Adequação de Processo;Pendente;Alimentos;Não;187;Não Planejada;1086
Nordeste;Distribuidora;2023;Não Conforme;9;351;Registro de Produtos;Média;Pequeno;4;Requalificação de Pessoal;Pendente;Medicamentos;Não;537;Não Planejada;1042
Norte;Laboratório;2018;Conforme;7;249;Armazenamento;Alta;Grande;1;Reformulação de Produtos;Concluída;Cosméticos;Não;505;Planejada;1062
Norte;Distribuidora;2023;Conforme;7;132;Boas Práticas de Fabricação;Média;Grande;4;Requalificação de Pessoal;Pendente;Medicamentos;Sim;608;Não Planejada;1080
Sudeste;Distribuidora;2018;Não Conforme;7;169;Rotulagem;Baixa;Médio;3;Requalificação de Pessoal;Pendente;Cosméticos;Não;321;Planejada;1011
Centro-Oeste;Distribuidora;2020;Conforme;9;60;Armazenamento;Baixa;Médio;4;Melhoria de Infraestrutura;Concluída;Medicamentos;Sim;193;Não Planejada;1083
Sul;Indústria de Cosméticos;2022;Conforme;8;337;Rotulagem;Baixa;Médio;4;Adequação de Processo;Em Progresso;Medicamentos;Não;254;Planejada;1097
Norte;Clínica;2019;Conforme;0;241;Rotulagem;Baixa;Grande;0;Reformulação de Produtos;Concluída;Saneantes;Não;579;Não Planejada;1055
Sul;Distribuidora;2019;Conforme;0;190;Registro de Produtos;Alta;Pequeno;0;Reformulação de Produtos;Concluída;Cosméticos;Sim;314;Não Planejada;1048
Norte;Hospital;2022;Não Conforme;9;340;Condições Sanitárias;Média;Médio;0;Adequação de Processo;Em Progresso;Cosméticos;Sim;552;Não Planejada;1051
Nordeste;Hospital;2022;Não Conforme;1;281;Boas Práticas de Fabricação;Média;Grande;4;Reformulação de Produtos;Concluída;Medicamentos;Não;224;Não Planejada;1010
Norte;Farmácia;2022;Não Conforme;5;232;Boas Práticas de Fabricação;Baixa;Pequeno;3;Requalificação de Pessoal;Concluída;Medicamentos;Sim;431;Planejada;1026
Sudeste;Clínica;2022;Não Conforme;0;289;Armazenamento;Média;Médio;1;Adequação de Processo;Pendente;Saneantes;Sim;356;Planejada;1061
Centro-Oeste;Farmácia;2023;Não Conforme;4;275;Boas Práticas de Fabricação;Alta;Grande;0;Requalificação de Pessoal;Concluída;Alimentos;Sim;427;Planejada;1008
Nordeste;Hospital;2020;Não Conforme;4;313;Registro de Produtos;Baixa;Médio;2;Requalificação de Pessoal;Em Progresso;Cosméticos;Não;392;Planejada;1081
Norte;Indústria de Saneantes;2019;Não Conforme;3;15;Boas Práticas de Fabricação;Média;Grande;4;Requalificação de Pessoal;Em Progresso;Medicamentos;Sim;222;Planejada;1035
Sul;Hospital;2021;Conforme;4;41;Armazenamento;Média;Médio;3;Adequação de Processo;Pendente;Saneantes;Não;103;Não Planejada;1045
Nordeste;Laboratório;2019;Não Conforme;0;208;Boas Práticas de Fabricação;Média;Grande;3;Reformulação de Produtos;Concluída;Medicamentos;Sim;318;Planejada;1091
Nordeste;Distribuidora;2019;Não Conforme;5;60;Condições Sanitárias;Média;Pequeno;0;Requalificação de Pessoal;Concluída;Cosméticos;Sim;674;Planejada;1083
Norte;Indústria de Saneantes;2018;Não Conforme;6;240;Rotulagem;Baixa;Médio;0;Adequação de Processo;Concluída;Saneantes;Não;537;Planejada;1028
Nordeste;Hospital;2022;Conforme;7;96;Rotulagem;Baixa;Médio;2;Adequação de Processo;Concluída;Saneantes;Não;666;Não Planejada;1067
Sul;Indústria de Cosméticos;2022;Não Conforme;1;278;Rotulagem;Alta;Grande;2;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Sim;219;Planejada;1078
Nordeste;Indústria de Cosméticos;2022;Não Conforme;6;160;Condições Sanitárias;Baixa;Pequeno;0;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Não;438;Planejada;1040
Sul;Farmácia;2018;Não Conforme;5;282;Registro de Produtos;Média;Pequeno;1;Melhoria de Infraestrutura;Pendente;Alimentos;Não;727;Planejada;1027
Norte;Indústria de Saneantes;2020;Conforme;8;209;Armazenamento;Média;Médio;0;Reformulação de Produtos;Concluída;Alimentos;Sim;169;Planejada;1063
Centro-Oeste;Farmácia;2020;Não Conforme;7;133;Condições Sanitárias;Média;Grande;0;Reformulação de Produtos;Em Progresso;Cosméticos;Sim;592;Não Planejada;1023
Nordeste;Distribuidora;2021;Conforme;3;97;Armazenamento;Alta;Médio;3;Reformulação de Produtos;Concluída;Cosméticos;Não;72;Não Planejada;1015
Centro-Oeste;Distribuidora;2020;Conforme;8;219;Registro de Produtos;Baixa;Grande;0;Reformulação de Produtos;Em Progresso;Saneantes;Sim;575;Planejada;1021
Sul;Laboratório;2020;Conforme;0;71;Condições Sanitárias;Baixa;Pequeno;0;Requalificação de Pessoal;Em Progresso;Cosméticos;Não;456;Não Planejada;1046
Nordeste;Clínica;2022;Conforme;5;274;Boas Práticas de Fabricação;Baixa;Médio;0;Adequação de Processo;Pendente;Alimentos;Não;75;Não Planejada;1016
Sudeste;Farmácia;2023;Não Conforme;7;351;Registro de Produtos;Média;Grande;1;Adequação de Processo;Concluída;Alimentos;Não;263;Planejada;1000
Centro-Oeste;Distribuidora;2019;Conforme;3;134;Rotulagem;Média;Pequeno;3;Melhoria de Infraestrutura;Pendente;Alimentos;Sim;469;Não Planejada;1030
Nordeste;Farmácia;2020;Conforme;1;66;Condições Sanitárias;Média;Grande;4;Adequação de Processo;Pendente;Medicamentos;Não;610;Não Planejada;1088
Centro-Oeste;Distribuidora;2020;Não Conforme;1;127;Registro de Produtos;Alta;Médio;4;Reformulação de Produtos;Pendente;Alimentos;Sim;597;Não Planejada;1011
Nordeste;Hospital;2018;Conforme;9;205;Registro de Produtos;Alta;Grande;4;Adequação de Processo;Pendente;Alimentos;Não;661;Não Planejada;1019
Norte;Farmácia;2021;Conforme;0;298;Condições Sanitárias;Média;Médio;4;Requalificação de Pessoal;Pendente;Cosméticos;Não;518;Não Planejada;1018
Centro-Oeste;Hospital;2023;Conforme;4;117;Rotulagem;Alta;Pequeno;3;Requalificação de Pessoal;Pendente;Alimentos;Não;621;Não Planejada;1004
Sudeste;Farmácia;2018;Conforme;5;267;Rotulagem;Alta;Grande;0;Melhoria de Infraestrutura;Pendente;Alimentos;Sim;199;Não Planejada;1014
Sudeste;Clínica;2022;Conforme;3;282;Registro de Produtos;Alta;Pequeno;4;Reformulação de Produtos;Concluída;Medicamentos;Sim;338;Não Planejada;1024
Sul;Laboratório;2019;Conforme;3;149;Armazenamento;Baixa;Pequeno;0;Adequação de Processo;Pendente;Alimentos;Não;38;Planejada;1034
Nordeste;Indústria de Cosméticos;2021;Não Conforme;4;194;Registro de Produtos;Alta;Médio;4;Melhoria de Infraestrutura;Concluída;Cosméticos;Não;319;Não Planejada;1054
Centro-Oeste;Indústria de Cosméticos;2018;Não Conforme;4;168;Condições Sanitárias;Média;Médio;1;Adequação de Processo;Concluída;Medicamentos;Sim;640;Não Planejada;1062
Sul;Indústria de Cosméticos;2020;Não Conforme;8;312;Condições Sanitárias;Baixa;Pequeno;0;Melhoria de Infraestrutura;Em Progresso;Saneantes;Não;140;Não Planejada;1046
Centro-Oeste;Hospital;2020;Não Conforme;7;179;Condições Sanitárias;Alta;Médio;3;Melhoria de Infraestrutura;Pendente;Alimentos;Sim;248;Planejada;1066
Nordeste;Indústria de Saneantes;2021;Conforme;8;148;Rotulagem;Média;Pequeno;1;Requalificação de Pessoal;Concluída;Alimentos;Não;659;Planejada;1081
Sudeste;Distribuidora;2020;Conforme;2;57;Boas Práticas de Fabricação;Alta;Médio;1;Requalificação de Pessoal;Em Progresso;Alimentos;Não;427;Não Planejada;1063
Norte;Indústria de Cosméticos;2018;Conforme;2;5;Condições Sanitárias;Média;Médio;3;Requalificação de Pessoal;Em Progresso;Saneantes;Sim;195;Planejada;1021
Sudeste;Clínica;2018;Não Conforme;0;14;Condições Sanitárias;Média;Grande;1;Melhoria de Infraestrutura;Pendente;Medicamentos;Sim;215;Planejada;1079
Sul;Indústria de Cosméticos;2020;Não Conforme;9;280;Armazenamento;Alta;Grande;0;Requalificação de Pessoal;Pendente;Medicamentos;Sim;645;Não Planejada;1078
Norte;Farmácia;2020;Conforme;5;324;Armazenamento;Alta;Médio;2;Requalificação de Pessoal;Pendente;Alimentos;Não;541;Planejada;1068
Sul;Hospital;2022;Conforme;3;304;Registro de Produtos;Baixa;Pequeno;2;Reformulação de Produtos;Pendente;Saneantes;Não;610;Planejada;1076
Nordeste;Indústria de Saneantes;2019;Não Conforme;7;216;Registro de Produtos;Alta;Pequeno;4;Adequação de Processo;Concluída;Cosméticos;Sim;389;Planejada;1091
Norte;Farmácia;2021;Não Conforme;1;175;Registro de Produtos;Média;Pequeno;4;Adequação de Processo;Concluída;Saneantes;Não;429;Planejada;1073
Sul;Indústria de Saneantes;2018;Não Conforme;1;316;Condições Sanitárias;Baixa;Médio;0;Reformulação de Produtos;Pendente;Alimentos;Não;694;Planejada;1079
Nordeste;Farmácia;2021;Não Conforme;6;3;Armazenamento;Média;Médio;3;Reformulação de Produtos;Pendente;Saneantes;Não;152;Planejada;1001
Sudeste;Farmácia;2022;Conforme;4;137;Registro de Produtos;Média;Pequeno;0;Requalificação de Pessoal;Concluída;Medicamentos;Sim;103;Planejada;1099
Nordeste;Laboratório;2018;Não Conforme;0;100;Armazenamento;Alta;Grande;4;Requalificação de Pessoal;Pendente;Medicamentos;Sim;405;Não Planejada;1024
Centro-Oeste;Laboratório;2022;Não Conforme;6;83;Condições Sanitárias;Média;Grande;1;Adequação de Processo;Em Progresso;Medicamentos;Não;288;Planejada;1060
Nordeste;Distribuidora;2022;Conforme;6;280;Condições Sanitárias;Alta;Pequeno;0;Reformulação de Produtos;Concluída;Cosméticos;Não;133;Planejada;1004
Nordeste;Hospital;2023;Conforme;9;132;Registro de Produtos;Média;Médio;0;Reformulação de Produtos;Em Progresso;Saneantes;Não;446;Planejada;1027
Centro-Oeste;Clínica;2020;Conforme;5;1;Condições Sanitárias;Baixa;Médio;3;Requalificação de Pessoal;Em Progresso;Alimentos;Sim;402;Não Planejada;1080
Sul;Clínica;2023;Não Conforme;3;116;Condições Sanitárias;Alta;Pequeno;4;Adequação de Processo;Em Progresso;Alimentos;Sim;35;Não Planejada;1065
Sul;Clínica;2021;Não Conforme;7;202;Armazenamento;Baixa;Grande;0;Melhoria de Infraestrutura;Em Progresso;Medicamentos;Sim;592;Não Planejada;1014
Nordeste;Farmácia;2021;Não Conforme;1;140;Boas Práticas de Fabricação;Alta;Pequeno;1;Reformulação de Produtos;Pendente;Alimentos;Sim;344;Planejada;1054
Centro-Oeste;Laboratório;2020;Não Conforme;1;146;Rotulagem;Baixa;Pequeno;1;Adequação de Processo;Pendente;Cosméticos;Sim;484;Não Planejada;1037
Centro-Oeste;Hospital;2023;Conforme;1;266;Registro de Produtos;Alta;Pequeno;2;Adequação de Processo;Pendente;Saneantes;Não;645;Planejada;1092
Sudeste;Farmácia;2021;Conforme;2;202;Boas Práticas de Fabricação;Baixa;Grande;4;Adequação de Processo;Pendente;Cosméticos;Não;521;Não Planejada;1022
Sul;Indústria de Saneantes;2023;Não Conforme;5;152;Registro de Produtos;Baixa;Pequeno;1;Reformulação de Produtos;Concluída;Saneantes;Sim;388;Planejada;1081
Norte;Laboratório;2020;Não Conforme;0;222;Boas Práticas de Fabricação;Alta;Grande;3;Melhoria de Infraestrutura;Pendente;Saneantes;Sim;545;Planejada;1013
Sul;Laboratório;2018;Não Conforme;1;79;Condições Sanitárias;Alta;Médio;4;Requalificação de Pessoal;Concluída;Saneantes;Sim;699;Planejada;1031
Sul;Indústria de Cosméticos;2022;Conforme;9;200;Registro de Produtos;Média;Grande;1;Melhoria de Infraestrutura;Em Progresso;Alimentos;Sim;11;Não Planejada;1043
Sudeste;Indústria de Cosméticos;2022;Não Conforme;1;250;Boas Práticas de Fabricação;Média;Grande;0;Adequação de Processo;Concluída;Alimentos;Não;581;Não Planejada;1069
Norte;Hospital;2023;Conforme;0;99;Rotulagem;Alta;Pequeno;4;Reformulação de Produtos;Pendente;Alimentos;Não;138;Não Planejada;1091
Sudeste;Indústria de Saneantes;2021;Não Conforme;2;213;Condições Sanitárias;Alta;Médio;1;Reformulação de Produtos;Em Progresso;Alimentos;Não;131;Não Planejada;1081
